sample_id,set_name,encoder,benchmark_task,new_embeddings,bench_embeddings,n_rows_new,n_rows_bench,emb_dim_new,emb_dim_bench,n_barcodes_new,n_barcodes_bench,n_barcodes_matched,barcode_sets_identical,row_order_identical,max_abs_diff,max_rel_diff_elem,median_rel_diff_elem,frac_elems_excluded_small,max_rel_l2_row,median_rel_l2_row,agrees_1e-5,n_patches_new,n_patches_bench,patch_shape_new,patch_shape_bench,patch_dtype_new,patch_dtype_bench,patch_attrs_new,patch_attrs_bench,n_patch_barcodes_compared,max_abs_img_diff,frac_img_bytes_differing,max_abs_coord_diff,error
INT1,kidney_visium_cell,uni_v2,CCRCC,/work/users/w/e/weiyang/hest_replication/embeddings_ext/kidney_visium_cell/uni_v2/INT1.h5,/work/users/w/e/weiyang/hest_replication/embeddings/CCRCC/uni_v2/INT1.h5,1032,1084,1536,1536,1032,1084,1032,False,False,7.339798e-01,1.999994e+00,1.482811e-01,0.0000,5.360846e-01,1.594708e-01,False,1032,1084,224x224x3,224x224x3,uint8,uint8,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1032, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1032, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0943478476792592"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4568931177233368""}, ""dtype"": ""uint8"", ""shape"": [1032, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1084, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1084, 2]}, ""img"": {""attrs"": {""factor"": ""1.0943478476792592"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [1084, 224, 224, 3]}}, ""file"": {}}",32,108,0.701171,10677,
INT10,kidney_visium_cell,uni_v2,CCRCC,/work/users/w/e/weiyang/hest_replication/embeddings_ext/kidney_visium_cell/uni_v2/INT10.h5,/work/users/w/e/weiyang/hest_replication/embeddings/CCRCC/uni_v2/INT10.h5,1971,1983,1536,1536,1971,1983,1971,False,False,4.947470e-01,1.999987e+00,1.467289e-01,0.0000,3.264214e-01,1.615408e-01,False,1971,1983,224x224x3,224x224x3,uint8,uint8,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1971, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1971, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0916679389305561"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4580147333902844""}, ""dtype"": ""uint8"", ""shape"": [1971, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1983, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1983, 2]}, ""img"": {""attrs"": {""factor"": ""1.0916679389305561"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [1983, 224, 224, 3]}}, ""file"": {}}",32,145,0.812057,9435,
INT11,kidney_visium_cell,uni_v2,CCRCC,/work/users/w/e/weiyang/hest_replication/embeddings_ext/kidney_visium_cell/uni_v2/INT11.h5,/work/users/w/e/weiyang/hest_replication/embeddings/CCRCC/uni_v2/INT11.h5,1400,1439,1536,1536,1400,1439,1400,False,False,7.056771e-01,1.999974e+00,1.609580e-01,0.0000,3.587745e-01,1.760256e-01,False,1400,1439,224x224x3,224x224x3,uint8,uint8,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1400, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1400, 2]}, ""img"": {""attrs"": {""downsample"": ""1.095"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.45662100456621""}, ""dtype"": ""uint8"", ""shape"": [1400, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1439, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1439, 2]}, ""img"": {""attrs"": {""factor"": ""1.095"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [1439, 224, 224, 3]}}, ""file"": {}}",32,78,0.885589,6840,
INT12,kidney_visium_cell,uni_v2,CCRCC,/work/users/w/e/weiyang/hest_replication/embeddings_ext/kidney_visium_cell/uni_v2/INT12.h5,/work/users/w/e/weiyang/hest_replication/embeddings/CCRCC/uni_v2/INT12.h5,1450,1451,1536,1536,1450,1451,1450,False,False,4.723597e-01,1.999967e+00,1.400965e-01,0.0000,3.175040e-01,1.511878e-01,False,1450,1451,224x224x3,224x224x3,uint8,uint8,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1450, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1450, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0925041189853701"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4576641783871348""}, ""dtype"": ""uint8"", ""shape"": [1450, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1451, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1451, 2]}, ""img"": {""attrs"": {""factor"": ""1.0925041189853701"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [1451, 224, 224, 3]}}, ""file"": {}}",32,81,0.867264,6890,
INT13,kidney_visium_cell,uni_v2,CCRCC,/work/users/w/e/weiyang/hest_replication/embeddings_ext/kidney_visium_cell/uni_v2/INT13.h5,/work/users/w/e/weiyang/hest_replication/embeddings/CCRCC/uni_v2/INT13.h5,4359,4359,1536,1536,4359,4359,4359,True,True,6.255760e-01,1.999989e+00,1.290761e-01,0.0000,3.527777e-01,1.378384e-01,False,4359,4359,224x224x3,224x224x3,uint8,uint8,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4359, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4359, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0930687043262155"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4574277884098857""}, ""dtype"": ""uint8"", ""shape"": [4359, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4359, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4359, 2]}, ""img"": {""attrs"": {""factor"": ""1.0930687043262155"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [4359, 224, 224, 3]}}, ""file"": {}}",32,148,0.939102,11937,
INT14,kidney_visium_cell,uni_v2,CCRCC,/work/users/w/e/weiyang/hest_replication/embeddings_ext/kidney_visium_cell/uni_v2/INT14.h5,/work/users/w/e/weiyang/hest_replication/embeddings/CCRCC/uni_v2/INT14.h5,4559,4562,1536,1536,4559,4562,4559,False,False,6.606834e-01,1.999994e+00,1.279262e-01,0.0000,2.800055e-01,1.358560e-01,False,4559,4562,224x224x3,224x224x3,uint8,uint8,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4559, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4559, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0927247896279346"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4575717552543552""}, ""dtype"": ""uint8"", ""shape"": [4559, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4562, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4562, 2]}, ""img"": {""attrs"": {""factor"": ""1.0927247896279344"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [4562, 224, 224, 3]}}, ""file"": {}}",32,133,0.927034,12878,
INT15,kidney_visium_cell,uni_v2,CCRCC,/work/users/w/e/weiyang/hest_replication/embeddings_ext/kidney_visium_cell/uni_v2/INT15.h5,/work/users/w/e/weiyang/hest_replication/embeddings/CCRCC/uni_v2/INT15.h5,4940,4940,1536,1536,4940,4940,4940,True,True,5.371402e-01,1.999990e+00,1.260279e-01,0.0000,2.679166e-01,1.342425e-01,False,4940,4940,224x224x3,224x224x3,uint8,uint8,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4940, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4940, 2]}, ""img"": {""attrs"": {""downsample"": ""1.092055062635518"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.457852371283662""}, ""dtype"": ""uint8"", ""shape"": [4940, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4940, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4940, 2]}, ""img"": {""attrs"": {""factor"": ""1.092055062635518"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [4940, 224, 224, 3]}}, ""file"": {}}",32,130,0.936982,12189,
INT16,kidney_visium_cell,uni_v2,CCRCC,/work/users/w/e/weiyang/hest_replication/embeddings_ext/kidney_visium_cell/uni_v2/INT16.h5,/work/users/w/e/weiyang/hest_replication/embeddings/CCRCC/uni_v2/INT16.h5,3202,3206,1536,1536,3202,3206,3202,False,False,5.059758e-01,1.999991e+00,1.899658e-01,0.0000,3.435076e-01,2.146162e-01,False,3202,3206,224x224x3,224x224x3,uint8,uint8,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [3202, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [3202, 2]}, ""img"": {""attrs"": {""downsample"": ""1.09256553537239"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4576384517104322""}, ""dtype"": ""uint8"", ""shape"": [3202, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [3206, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [3206, 2]}, ""img"": {""attrs"": {""factor"": ""1.09256553537239"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [3206, 224, 224, 3]}}, ""file"": {}}",32,146,0.940827,11308,
INT17,kidney_visium_cell,uni_v2,CCRCC,/work/users/w/e/weiyang/hest_replication/embeddings_ext/kidney_visium_cell/uni_v2/INT17.h5,/work/users/w/e/weiyang/hest_replication/embeddings/CCRCC/uni_v2/INT17.h5,3584,3585,1536,1536,3584,3585,3584,False,False,4.920365e-01,1.999996e+00,1.406802e-01,0.0000,3.256452e-01,1.513483e-01,False,3584,3585,224x224x3,224x224x3,uint8,uint8,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [3584, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [3584, 2]}, ""img"": {""attrs"": {""downsample"": ""1.092823769302581"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4575303118810184""}, ""dtype"": ""uint8"", ""shape"": [3584, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [3585, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [3585, 2]}, ""img"": {""attrs"": {""factor"": ""1.0928237693025808"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [3585, 224, 224, 3]}}, ""file"": {}}",32,136,0.929045,12319,
INT18,kidney_visium_cell,uni_v2,CCRCC,/work/users/w/e/weiyang/hest_replication/embeddings_ext/kidney_visium_cell/uni_v2/INT18.h5,/work/users/w/e/weiyang/hest_replication/embeddings/CCRCC/uni_v2/INT18.h5,4914,4915,1536,1536,4914,4915,4914,False,False,3.594634e-01,1.999986e+00,1.044174e-01,0.0000,2.003377e-01,1.132469e-01,False,4914,4915,224x224x3,224x224x3,uint8,uint8,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4914, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4914, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0914693906667348"", ""patch_size_src"": ""244"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4580980504589049""}, ""dtype"": ""uint8"", ""shape"": [4914, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4915, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4915, 2]}, ""img"": {""attrs"": {""factor"": ""1.0914693906667348"", ""patch_size"": ""244""}, ""dtype"": ""uint8"", ""shape"": [4915, 224, 224, 3]}}, ""file"": {}}",32,26,0.750938,12662,
